Student ID,Session ID,Date,EEG Data (PSD Features),Engagement Level,Attention Level,Internet Connectivity,Adaptivity Level,Learning Mode Prediction,Performance Metrics
001,183,2025-01-20,"[0.02336871035675725, 0.14892576656473, 0.48450190741417876]",High,High,High (Mobile/Wi-Fi),Moderate,Visual Learner,84
002,121,2025-01-20,"[0.3587673311624021, 0.8537981137219391, 0.4200261650795559]",Low,High,Moderate (Wi-Fi),High,Auditory Learner,82
003,169,2025-01-10,"[0.7420744093003028, 0.9072353407615483, 0.12209707693915373]",Moderate,High,Low (Mobile),Low,Auditory Learner,83
004,132,2025-01-20,"[0.5596059164442914, 0.4645215049524961, 0.06266633498441321]",High,Moderate,Low (Mobile),Moderate,Visual Learner,66
005,190,2025-01-18,"[0.15041646487754368, 0.7331633184349893, 0.8651498969750806]",High,High,High (Mobile/Wi-Fi),Moderate,Auditory Learner,93
006,109,2025-01-01,"[0.48602374487398736, 0.29692456412338686, 0.424826686803626]",Low,Low,High (Mobile/Wi-Fi),Low,Visual Learner,69
007,188,2025-01-11,"[0.613720914913789, 0.7347672728316721, 0.7177896409135961]",High,Low,High (Mobile/Wi-Fi),High,Auditory Learner,52
008,160,2025-01-18,"[0.8685288089416802, 0.053066839914597486, 0.5830438447531388]",High,Moderate,High (Mobile/Wi-Fi),Low,Auditory Learner,53
009,184,2025-01-08,"[0.7532905975429636, 0.8914369100391141, 0.7385703960344887]",Low,High,Low (Mobile),Low,Visual Learner,87
010,111,2025-01-02,"[0.1489823384870378, 0.2621546862614371, 0.07196780135305925]",Moderate,Moderate,High (Mobile/Wi-Fi),High,Kinesthetic Learner,69
011,143,2025-01-18,"[0.7369719468897278, 0.7480241389292925, 0.129310413871497]",High,High,Moderate (Wi-Fi),Moderate,Visual Learner,68
012,130,2025-01-06,"[0.4486908492672521, 0.0876629823885402, 0.780088371063445]",Moderate,High,High (Mobile/Wi-Fi),High,Kinesthetic Learner,81
013,160,2025-01-21,"[0.850372147907535, 0.44896125991557156, 0.24172168947665473]",Moderate,Low,Moderate (Wi-Fi),Moderate,Visual Learner,73
014,192,2025-01-24,"[0.4516224651631393, 0.0909955758626092, 0.38993226922918767]",High,Moderate,Moderate (Wi-Fi),High,Kinesthetic Learner,61
015,137,2025-01-25,"[0.19249728468721194, 0.003529847837014377, 0.7581338423257227]",Moderate,High,Moderate (Wi-Fi),Moderate,Auditory Learner,69
016,187,2025-01-02,"[0.885427266647491, 0.6900209750426078, 0.5834838883287063]",Moderate,Low,High (Mobile/Wi-Fi),Low,Visual Learner,59
017,109,2025-01-05,"[0.36949354767087983, 0.02813641230092412, 0.15207805388320628]",Low,High,Moderate (Wi-Fi),Moderate,Auditory Learner,84
018,190,2025-01-10,"[0.4429083996160552, 0.05468700895957135, 0.8068750271561632]",Low,High,Low (Mobile),High,Auditory Learner,59
019,174,2025-01-26,"[0.34632661921220365, 0.26041403480864667, 0.5990361956657391]",Low,High,Moderate (Wi-Fi),Low,Kinesthetic Learner,88
020,187,2025-01-02,"[0.31770382531827857, 0.7518285722492409, 0.03393722597922211]",High,Low,Low (Mobile),Moderate,Kinesthetic Learner,69
021,151,2025-01-13,"[0.6279304793064349, 0.8886708330918225, 0.22457946876461288]",Low,Low,High (Mobile/Wi-Fi),Low,Kinesthetic Learner,96
022,187,2025-01-13,"[0.47290223397377373, 0.9398384300589093, 0.550083361761349]",Low,Low,Low (Mobile),High,Auditory Learner,69
